_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
12140,30/32 WAYNE AVE,EB,,31,"{'type': 'Point', 'coordinates': (-79.294251474, 43.738135912)}",20,Weekdays from 7 AM - 9 PM,2812,WAYNE AVE EB ,30,2022-01-27T14:00:00,36,21.0
12141,25/27 CORNWALLIS DR,EB,,41,"{'type': 'Point', 'coordinates': (-79.281266831, 43.750736081)}",5,Weekdays from 7 AM - 9 PM,2874,CORNWALLIS DR EB ,40,2022-03-11T10:00:00,46,21.0
12142,CORNWALLIS DR 44M W/OF ELLENDALE DR,WB,,41,"{'type': 'Point', 'coordinates': (-79.277573, 43.751603)}",5,Weekdays from 7 AM - 9 PM,2879,CORNWALLIS DR WB ,40,2022-02-11T12:00:00,46,21.0
12143,30/32 SEMINOLE AVE,WB,2023-02-15T15:00:00,31,"{'type': 'Point', 'coordinates': (-79.249318, 43.745902)}",20,Weekdays from 7 AM - 9 PM,63067,SEMINOLE AVE WB ,30,2023-03-29T00:00:00,36,21.0
12144,138 Canongate Trail,NB,,31,"{'type': 'Point', 'coordinates': (-79.30706, 43.819027)}",20,Weekdays from 7 AM - 9 PM,3,Canongate Trl NB ,30,2018-10-18T08:00:00,36,22.0
12145,35 Sheldonbury Crescent,NB,,31,"{'type': 'Point', 'coordinates': (-79.317993, 43.787959)}",20,Weekdays from 7 AM - 9 PM,10,Sheldonbury Cres NB ,30,2019-04-03T08:00:00,36,22.0
12146,193 Silver Springs Boulevard,SB,,31,"{'type': 'Point', 'coordinates': (-79.300949, 43.803387)}",20,Weekdays from 7 AM - 9 PM,32,Silver Spring Blvd SB ,30,2019-03-11T07:00:00,36,22.0
12147,281 Silver Springs Boulevard,NB,,31,"{'type': 'Point', 'coordinates': (-79.303311, 43.806289)}",20,Weekdays from 7 AM - 9 PM,42,Silver Spring Blvd NB ,30,2019-03-11T07:00:00,36,22.0
12148,19 Lockie Avenue,EB,,31,"{'type': 'Point', 'coordinates': (-79.282093, 43.788382)}",20,Weekdays from 7 AM - 9 PM,47,Lockie Ave EB ,30,2019-03-11T07:00:00,36,22.0
12149,43 Collingsbrook Boulevard,WB,,31,"{'type': 'Point', 'coordinates': (-79.319936, 43.788924)}",20,Weekdays from 7 AM - 9 PM,105,Collingsbrook BLVD WB ,30,2019-04-03T08:00:00,36,22.0
12150,121 Canongate Trail,SB,,31,"{'type': 'Point', 'coordinates': (-79.307786, 43.820196)}",20,Weekdays from 7 AM - 9 PM,170,Canongate Trl SB ,30,2018-10-18T08:00:00,36,22.0
12151,9 Brantford Drive,SB,,61,"{'type': 'Point', 'coordinates': (-79.323969, 43.790157)}",30,Weekdays from 7 AM - 9 PM,208,Corinthian Blvd SB ,60,2019-03-20T07:00:00,66,22.0
12152,163 Wintermute Boulevard,SB,,31,"{'type': 'Point', 'coordinates': (-79.318072, 43.81681)}",20,Weekdays from 7 AM - 9 PM,243,Wintermute Blvd SB ,30,2019-04-12T10:00:00,36,22.0
12153,6 Leafield Drive,WB,,51,"{'type': 'Point', 'coordinates': (-79.324421, 43.780687)}",30,Weekdays from 7 AM - 9 PM,276,Huntingwood Ave WB ,50,2018-11-21T15:00:00,56,22.0
12154,194 Wintermute Boulevard,NB,,31,"{'type': 'Point', 'coordinates': (-79.316886, 43.815815)}",20,Weekdays from 7 AM - 9 PM,305,Wintermute Blvd NB ,30,2019-04-12T10:00:00,36,22.0
12155,2 Rosscowan Gate,NB,,51,"{'type': 'Point', 'coordinates': (-79.321771, 43.785658)}",30,Weekdays from 7 AM - 9 PM,314,Corinthian Blvd NB ,50,2019-03-07T08:00:00,56,22.0
12156,82 Fundy Bay Boulevard,WB,,31,"{'type': 'Point', 'coordinates': (-79.315901, 43.809105)}",20,Weekdays from 7 AM - 9 PM,318,Fundy Bay Blvd WB ,30,2019-03-20T06:00:00,36,22.0
12157,50 Collingsbrook Boulevard,EB,,31,"{'type': 'Point', 'coordinates': (-79.31810000000002, 43.788587)}",20,Weekdays from 7 AM - 9 PM,414,Collingsbrook Blvd EB ,30,2019-04-03T08:00:00,36,22.0
12158,2751 Victoria Park Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.324874, 43.77947)}",20,Weekdays from 7 AM - 9 PM,476,Victorial Park Ave NB ,30,2018-11-21T15:00:00,36,22.0
12159,143 Fundy Bay Boulevard,EB,,31,"{'type': 'Point', 'coordinates': (-79.318288, 43.808725)}",20,Weekdays from 7 AM - 9 PM,622,Fundy Bay Blvd EB ,30,2019-01-04T12:00:00,36,22.0
12160,67 Kilkenny Drive,NB,,31,"{'type': 'Point', 'coordinates': (-79.319153, 43.788041)}",20,Weekdays from 7 AM - 9 PM,631,Kilkenny Dr NB ,30,2019-04-03T08:00:00,36,22.0
12161,2644 Midland Avenue,NB,,51,"{'type': 'Point', 'coordinates': (-79.280479, 43.789737)}",30,Weekdays from 7 AM - 9 PM,637,Midland Ave NB ,50,2019-03-11T07:00:00,56,22.0
12162,125 Huntsmill Boulevard,WB,,41,"{'type': 'Point', 'coordinates': (-79.326242, 43.806942)}",5,Weekdays from 7 AM - 9 PM,746,Huntsmill Blvd WB ,40,2019-09-24T09:00:00,46,22.0
12163,54 Dempster Street,WB,,41,"{'type': 'Point', 'coordinates': (-79.291108, 43.78027)}",5,Weekdays from 7 AM - 9 PM,755,Dempster St WB ,40,2019-10-01T12:00:00,46,22.0
12164,123 Allanford Road,NB,,41,"{'type': 'Point', 'coordinates': (-79.293367, 43.777981)}",5,Weekdays from 7 AM - 9 PM,762,Allanford Rd NB ,40,2019-11-15T13:00:00,46,22.0
12165,2419 Birchmount Road,NB,,51,"{'type': 'Point', 'coordinates': (-79.299965, 43.785242)}",30,Weekdays from 7 AM - 9 PM,763,Birchmount Rd NB ,50,2019-10-30T10:00:00,56,22.0
12166,170 Huntsmill Boulevard,EB,,41,"{'type': 'Point', 'coordinates': (-79.330168, 43.806619)}",5,Weekdays from 7 AM - 9 PM,769,Huntsmill Blvd EB ,40,2019-09-24T09:00:00,46,22.0
12167,172 Allanford Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.293004, 43.780846)}",5,Weekdays from 7 AM - 9 PM,820,Allenford Rd SB ,40,2019-10-02T07:00:00,46,22.0
12168,48 Dunmurray Boulevard,SB,,41,"{'type': 'Point', 'coordinates': (-79.30401500000002, 43.786782)}",5,Weekdays from 7 AM - 9 PM,821,Dunmurray Blvd SB ,40,2019-10-30T12:00:00,46,22.0
12169,2514 Birchmount Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.30099, 43.787091)}",30,Weekdays from 7 AM - 9 PM,830,Birchmount Rd SB ,50,2019-10-30T11:00:00,56,22.0
12170,PHARMACY AVE 75M S/OF ROSSCOWAN GATE,NB,,51,"{'type': 'Point', 'coordinates': (-79.321433, 43.784872)}",30,Weekdays from 7 AM - 9 PM,1960,PHARMACY AVE NB ,50,2023-01-18T00:00:00,56,22.0
12171,9 Brantford Drive,SB,,61,"{'type': 'Point', 'coordinates': (-79.323969, 43.790157)}",30,Weekdays from 7 AM - 9 PM,2086,Pharmacy Ave SB ,60,2020-03-18T00:00:00,66,22.0
12172,128 Bamburgh Circle,NB,,41,"{'type': 'Point', 'coordinates': (-79.326615, 43.81287)}",5,Weekdays from 7 AM - 9 PM,2470,Bamburgh Cir W Leg NB - C ,40,2020-11-02T08:00:00,46,22.0
12173,100 Bamburgh Circle,SB,,41,"{'type': 'Point', 'coordinates': (-79.327482, 43.814525)}",5,Weekdays from 7 AM - 9 PM,2471,Bamburgh Circle W Leg SB - c ,40,2020-11-02T09:00:00,46,22.0
12174,100 Bamburgh Circle,SB,,41,"{'type': 'Point', 'coordinates': (-79.327482, 43.814525)}",5,Weekdays from 7 AM - 9 PM,2494,Bamburgh Circle W Leg SB ,40,2020-11-03T00:00:00,46,22.0
12175,128 Bamburgh Circle,NB,,41,"{'type': 'Point', 'coordinates': (-79.326615, 43.81287)}",5,Weekdays from 7 AM - 9 PM,2496,Bamburgh Cir W Leg NB ,40,2020-11-03T00:00:00,46,22.0
12176,43 Collingsbrook Boulevard,WB,,31,"{'type': 'Point', 'coordinates': (-79.319936, 43.788924)}",20,Weekdays from 7 AM - 9 PM,2571,Collingsbrook Blvd WB ,30,2020-12-17T00:00:00,36,22.0
12177,2450 Birchmount Road,WB,,41,"{'type': 'Point', 'coordinates': (-79.30061, 43.783381)}",5,Weekdays from 7 AM - 9 PM,2578,Bay Mills Blvd WB ,40,2021-01-06T12:00:00,46,22.0
12178,25 Pomander Road,WB,2021-04-19T10:00:00,31,"{'type': 'Point', 'coordinates': (-79.314166, 43.781022)}",20,Weekdays from 7 AM - 9 PM,2629,BRIDLEWOOD BLVD WB ,30,2021-02-10T14:00:00,36,22.0
12179,CHESTER LE BLVD 12M N/OF PETTIBONE SQ,NB,,41,"{'type': 'Point', 'coordinates': (-79.330977, 43.797592)}",5,Weekdays from 7 AM - 9 PM,2776,CHESTER LE BLVD NB ,40,2021-11-22T14:00:00,46,22.0
12180,PHARMACY AVE 211M N/OF HUNTINGDALE BLVD,NB,,51,"{'type': 'Point', 'coordinates': (-79.327877006, 43.798232692)}",30,Weekdays from 7 AM - 9 PM,2863,PHARMACY AVE NB ,50,2022-03-01T09:00:00,56,22.0
12181,CHESTER LE BLVD 95M N/OF MORECAMBE GT,SB,,41,"{'type': 'Point', 'coordinates': (-79.332379711, 43.799289619)}",5,Weekdays from 7 AM - 9 PM,2866,CHESTER LE BLVD SB ,40,2022-03-01T09:00:00,46,22.0
12182,PHARMACY AVE 260M S/OF BEVERLYN GLEN BLVD,SB,,51,"{'type': 'Point', 'coordinates': (-79.328773, 43.799583)}",30,Weekdays from 7 AM - 9 PM,2912,PHARMACY AVE SB ,50,2022-03-11T12:00:00,56,22.0
12183,HUNTINGWOOD DR 63M E/OF KITTERY BLVD,WB,,51,"{'type': 'Point', 'coordinates': (-79.285691636, 43.796789055)}",30,Weekdays from 7 AM - 9 PM,2913,HUNTINGWOOD DR WB ,50,2022-04-11T11:00:00,56,22.0
12184,1063/1065 HUNTINGWOOD DR,EB,,51,"{'type': 'Point', 'coordinates': (-79.285778, 43.796638)}",30,Weekdays from 7 AM - 9 PM,2915,HUNTINGWOOD DR EB ,50,2022-03-28T09:00:00,56,22.0
12185,51 Snowball Crescent,NB,,31,"{'type': 'Point', 'coordinates': (-79.228039, 43.799246000000004)}",20,Weekdays from 7 AM - 9 PM,97,Washburn Way NB ,30,2019-03-11T08:00:00,36,23.0
12186,196 Burrows Hall Boulevard,WB,,31,"{'type': 'Point', 'coordinates': (-79.22841, 43.79408)}",20,Weekdays from 7 AM - 9 PM,385,Burrows Hall Blvd WB ,30,2018-10-18T14:00:00,36,23.0
12187,1 Tapscott Road,EB,,51,"{'type': 'Point', 'coordinates': (-79.225218, 43.804478)}",30,Weekdays from 7 AM - 9 PM,418,Tapscott Rd EB ,50,2018-10-25T09:00:00,56,23.0
12188,51 Tapscott Road,WB,,31,"{'type': 'Point', 'coordinates': (-79.223043, 43.804846)}",20,Weekdays from 7 AM - 9 PM,430,Tapscott Rd WB ,30,2019-01-03T10:00:00,36,23.0
12189,2621 Midland Avenue,SB,,51,"{'type': 'Point', 'coordinates': (-79.279399, 43.787724)}",30,Weekdays from 7 AM - 9 PM,497,Midland Ave SB ,50,2019-03-11T07:00:00,56,23.0
12190,151 Burrows Hall Boulevard,EB,,31,"{'type': 'Point', 'coordinates': (-79.229697, 43.792333)}",20,Weekdays from 7 AM - 9 PM,519,Burrows Hall Blvd EB ,30,2019-03-20T10:00:00,36,23.0
12191,18 Washburn Way,SB,2022-08-17T15:00:00,31,"{'type': 'Point', 'coordinates': (-79.227773, 43.797108)}",20,Weekdays from 7 AM - 9 PM,692,Washburn Way SB ,30,2019-03-11T08:00:00,36,23.0
12192,2 Berner Trail,NB,,31,"{'type': 'Point', 'coordinates': (-79.225726, 43.80129)}",20,Weekdays from 7 AM - 9 PM,712,Washburn Way NB ,30,2018-10-25T09:00:00,36,23.0
12193,120 Chartland Boulevard South,EB,,51,"{'type': 'Point', 'coordinates': (-79.2768, 43.801025)}",30,Weekdays from 7 AM - 9 PM,735,Chartland Blvd S EB ,50,2019-10-25T13:00:00,56,23.0
12194,84 Chartland Boulevard South,NB,,41,"{'type': 'Point', 'coordinates': (-79.280129, 43.800146)}",5,Weekdays from 7 AM - 9 PM,759,Chartland Blvd S NB ,40,2019-10-25T13:00:00,46,23.0
12195,1166 Huntingwood Drive,EB,,51,"{'type': 'Point', 'coordinates': (-79.279683, 43.797779)}",30,Weekdays from 7 AM - 9 PM,772,Huntingwood Dr EB ,50,2019-10-25T13:00:00,56,23.0
12196,1226 Huntingwood Drive,WB,,51,"{'type': 'Point', 'coordinates': (-79.2747, 43.798261)}",30,Weekdays from 7 AM - 9 PM,811,Huntingwood Blvd WB ,50,2019-10-25T12:00:00,56,23.0
12197,35 White Heather Boulevard,NB,2020-09-04T08:00:00,31,"{'type': 'Point', 'coordinates': (-79.266384, 43.81275800000001)}",20,Weekdays from 7 AM - 9 PM,2029,White Heather Blvd NB ,30,2020-02-11T09:00:00,36,23.0
12198,120 Berner Trail,SB,2021-10-20T07:00:00,41,"{'type': 'Point', 'coordinates': (-79.220494, 43.801502)}",5,Weekdays from 7 AM - 9 PM,2106,Berner Trail SB ,40,2020-03-23T09:00:00,46,23.0
12199,97 Berner Trail,NB,,41,"{'type': 'Point', 'coordinates': (-79.2203, 43.800609)}",5,Weekdays from 7 AM - 9 PM,2107,Berner Trail NB ,40,2020-03-23T09:00:00,46,23.0
12200,143 Port Royal Trail,WB,,41,"{'type': 'Point', 'coordinates': (-79.28920100000002, 43.81587600000001)}",5,Weekdays from 7 AM - 9 PM,2113,Port Royal Trl WB ,40,2020-03-24T11:00:00,46,23.0
12201,26 Port Royal Trail,SB,,41,"{'type': 'Point', 'coordinates': (-79.286901, 43.820809)}",5,Weekdays from 7 AM - 9 PM,2116,Port Royal Trl SB ,40,2020-03-24T09:00:00,46,23.0
12202,1986 Brimley Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.26784200000002, 43.786584)}",30,Weekdays from 7 AM - 9 PM,2152,Brimley Rd SB ,50,2020-04-15T11:00:00,56,23.0
12203,1969 Brimley Road,NB,,51,"{'type': 'Point', 'coordinates': (-79.266655, 43.784323)}",30,Weekdays from 7 AM - 9 PM,2153,Brimley Rd NB ,50,2020-04-15T10:00:00,56,23.0
12204,142 Brimwood Boulevard,WB,2020-12-13T02:00:00,41,"{'type': 'Point', 'coordinates': (-79.27271, 43.811999)}",5,Weekdays from 7 AM - 9 PM,2544,Brimwood Blvd WB ,40,2020-12-11T09:00:00,46,23.0
12205,142 Brimwood Boulevard,WB,2021-04-19T12:00:00,41,"{'type': 'Point', 'coordinates': (-79.272714, 43.811984)}",5,Weekdays from 7 AM - 9 PM,2545,Brimwood Blvd WB ,40,2020-12-15T14:00:00,46,23.0
12206,GOLDHAWK TRAIL 8M E OF PONDTAIL DR,EB,,41,"{'type': 'Point', 'coordinates': (-79.278811, 43.818643)}",5,Weekdays from 7 AM - 9 PM,2681,GOLDHAWK TRL EB ,40,2021-04-30T09:00:00,46,23.0
12207,46-48 GOLDHAWK TRAIL,SB,,41,"{'type': 'Point', 'coordinates': (-79.276305, 43.819883)}",5,Weekdays from 7 AM - 9 PM,2686,GOLDHAWK TRL SB ,40,2021-04-30T09:00:00,46,23.0
12208,OPP 119 BERNER TRL,SB,,41,"{'type': 'Point', 'coordinates': (-79.220521, 43.801432)}",5,Weekdays from 7 AM - 9 PM,2781,BERNER TRL SB ,40,2021-12-07T09:00:00,46,23.0
12209,INVERGORDON AVE 48M E/OF HAVENVIEW RD,WB,,41,"{'type': 'Point', 'coordinates': (-79.246416, 43.78843)}",5,Weekdays from 7 AM - 9 PM,2875,INVERGORDON AVE WB ,40,2022-02-11T10:00:00,46,23.0
12210,HEATHER RD 216M W/OF SHILTON RD,EB,,41,"{'type': 'Point', 'coordinates': (-79.27396, 43.78966)}",5,Weekdays from 7 AM - 9 PM,2899,HEATHER RD EB ,40,2022-03-21T11:00:00,46,23.0
12211,HEATHER RD 23M W/OF SHILTON RD,WB,,41,"{'type': 'Point', 'coordinates': (-79.271551, 43.790216)}",5,Weekdays from 7 AM - 9 PM,2907,HEATHER RD WB ,40,2022-03-21T11:00:00,46,23.0
12212,727 Brimorton Drive,SB,,41,"{'type': 'Point', 'coordinates': (-79.225095, 43.774494)}",30,Weekdays from 7 AM - 9 PM,31,Brimorton Dr SB ,40,2019-04-15T09:00:00,46,24.0
12213,156 Orton Park Road,SB,2023-02-07T09:00:00,31,"{'type': 'Point', 'coordinates': (-79.20913, 43.772057)}",20,Weekdays from 7 AM - 9 PM,95,Orton Park Rd SB ,30,2019-04-15T06:00:00,36,24.0
12214,103 Orton Park Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.207913, 43.769787)}",20,Weekdays from 7 AM - 9 PM,126,Orton Park Rd NB ,30,2019-04-15T06:00:00,36,24.0
12215,762 Scarborough Golf Club Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.216878, 43.765052)}",30,Weekdays from 7 AM - 9 PM,148,Scarborough Golf Club Rd SB ,50,2018-10-18T14:00:00,56,24.0
12216,40 Windover Drive,WB,2020-05-01T11:00:00,41,"{'type': 'Point', 'coordinates': (-79.20961200000002, 43.761801)}",30,Weekdays from 7 AM - 9 PM,206,Windover Dr WB ,40,2018-02-05T15:00:00,46,24.0
12217,21 Janray Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.220033, 43.76258)}",20,Weekdays from 7 AM - 9 PM,330,Janray Dr EB ,30,2018-10-25T10:00:00,36,24.0
12218,733 Scarborough Golf Club Road,NB,,51,"{'type': 'Point', 'coordinates': (-79.21581, 43.762922)}",30,Weekdays from 7 AM - 9 PM,348,Scarborough Golf Club Rd NB ,50,2018-10-18T14:00:00,56,24.0
12219,48 Highcastle Road,SB,,31,"{'type': 'Point', 'coordinates': (-79.215584, 43.788906)}",20,Weekdays from 7 AM - 9 PM,392,Highcastel Rd SB ,30,2019-04-03T09:00:00,36,24.0
12220,10 Waldock Street,WB,,31,"{'type': 'Point', 'coordinates': (-79.191856, 43.758532)}",20,Weekdays from 7 AM - 9 PM,412,Church Ave WB ,30,2018-10-24T07:00:00,36,24.0
12221,34 Gatesview Avenue,WB,,31,"{'type': 'Point', 'coordinates': (-79.214117, 43.747396)}",20,Weekdays from 7 AM - 9 PM,440,Gatesview Ave WB ,30,2019-04-15T07:00:00,36,24.0
12222,768 Brimorton Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.222123, 43.772998)}",30,Weekdays from 7 AM - 9 PM,456,Brimorton Dr NB ,40,2019-03-20T05:00:00,46,24.0
12223,980 Bellamy Road North,SB,,51,"{'type': 'Point', 'coordinates': (-79.239978, 43.769256)}",30,Weekdays from 7 AM - 9 PM,470,Bellamy Rd SB ,50,2019-03-06T14:00:00,56,24.0
12224,401 Brimorton Drive,NB,,51,"{'type': 'Point', 'coordinates': (-79.238854, 43.767072)}",30,Weekdays from 7 AM - 9 PM,491,Bellamy Rd NB ,50,2019-03-06T14:00:00,56,24.0
12225,61 Holmfirth Terrace,WB,,31,"{'type': 'Point', 'coordinates': (-79.217236, 43.760199)}",20,Weekdays from 7 AM - 9 PM,495,Holmfirth Ter WB ,30,2018-01-23T11:00:00,36,24.0
12226,171 Galloway Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.195175, 43.763342)}",20,Weekdays from 7 AM - 9 PM,505,Galloway Rd NB ,30,2019-04-12T06:00:00,36,24.0
12227, Holmfirth Terrace,EB,2020-05-01T10:00:00,41,"{'type': 'Point', 'coordinates': (-79.220006, 43.759579)}",30,Weekdays from 7 AM - 9 PM,568,Holmfirth Ter EB ,40,2017-07-11T10:00:00,46,24.0
12228,37 Highcastle Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.215103, 43.788083)}",20,Weekdays from 7 AM - 9 PM,572,Highcastle Rd NB ,30,2019-04-03T09:00:00,36,24.0
12229,192 Galloway Road,SB,,31,"{'type': 'Point', 'coordinates': (-79.196133, 43.765036)}",20,Weekdays from 7 AM - 9 PM,702,Galloway Rd SB ,30,2019-04-12T08:00:00,36,24.0
12230,98 Dolly Varden Boulevard,WB,,41,"{'type': 'Point', 'coordinates': (-79.233008, 43.772582)}",30,Weekdays from 7 AM - 9 PM,704,Brimorton Dr WB ,40,2019-03-07T08:00:00,46,24.0
12231,36 Janray Drive,WB,,31,"{'type': 'Point', 'coordinates': (-79.219034, 43.763487)}",20,Weekdays from 7 AM - 9 PM,722,Janray Dr WB ,30,2019-04-15T06:00:00,36,24.0
12232,13 Gatesview Avenue,EB,,31,"{'type': 'Point', 'coordinates': (-79.215825, 43.746939)}",20,Weekdays from 7 AM - 9 PM,723,Gatesview Ave EB ,30,2019-04-11T06:00:00,36,24.0
12233,76 Slan Avenue,EB,,41,"{'type': 'Point', 'coordinates': (-79.215007, 43.774714)}",5,Weekdays from 7 AM - 9 PM,881,Slane Ave EB ,40,2019-12-16T12:00:00,46,24.0
12234,110 Slan Avenue,WB,,41,"{'type': 'Point', 'coordinates': (-79.21264, 43.775947)}",5,Weekdays from 7 AM - 9 PM,883,Slane Ave WB ,40,2019-12-16T13:00:00,46,24.0
12235,453 Brimorton Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.235824, 43.770521)}",30,Weekdays from 7 AM - 9 PM,966,Brimorton Dr EB ,40,2019-04-15T06:00:00,46,24.0
12236,76 Shoredale Drive,SB,2020-05-15T11:00:00,41,"{'type': 'Point', 'coordinates': (-79.211793, 43.761443)}",30,Weekdays from 7 AM - 9 PM,998,Shoredale Dr SB ,40,2018-01-23T10:00:00,46,24.0
12237,69 Stevenvale Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.22023100000001, 43.759632)}",5,Weekdays from 7 AM - 9 PM,2187,Holmfirth Terr EB ,40,2020-05-01T11:00:00,46,24.0
12238,42 Windover Drive,WB,,41,"{'type': 'Point', 'coordinates': (-79.209517, 43.76181)}",5,Weekdays from 7 AM - 9 PM,2190,Windover Dr WB ,40,2020-05-01T12:00:00,46,24.0
12239,67 Shoredale Drive,WB,,41,"{'type': 'Point', 'coordinates': (-79.21191, 43.761458)}",5,Weekdays from 7 AM - 9 PM,2195,Shoredale Dr WB ,40,2020-05-15T12:00:00,46,24.0
12240,OPP 49 NELSON ST,WB,,41,"{'type': 'Point', 'coordinates': (-79.229706461, 43.746870871)}",5,Weekdays from 7 AM - 9 PM,2885,NELSON ST WB ,40,2022-03-11T15:00:00,46,24.0
12241,45/47 NELSON ST,EB,,41,"{'type': 'Point', 'coordinates': (-79.229986, 43.746761)}",5,Weekdays from 7 AM - 9 PM,2905,NELSON ST EB ,40,2022-03-07T10:00:00,46,24.0
12242,MILITARY TRL 248M W/OF NEILSON RD,WB,,31,"{'type': 'Point', 'coordinates': (-79.210969, 43.78683)}",20,Weekdays from 7 AM - 9 PM,2910,MILITARY TRL WB ,30,2022-03-03T10:00:00,36,24.0
12243,228 GALLOWAY RD,SB,,31,"{'type': 'Point', 'coordinates': (-79.196662909, 43.767970852)}",20,Weekdays from 7 AM - 9 PM,2914,GALLOWAY RD SB ,30,2022-04-11T12:00:00,36,24.0
12244,GALLOWAY RD 210M N/OF LAWRENCE AVE E,NB,,31,"{'type': 'Point', 'coordinates': (-79.196501974, 43.767960151)}",20,Weekdays from 7 AM - 9 PM,2916,GALLOWAY RD NB ,30,2022-04-11T12:00:00,36,24.0
12245,ORTON PARK RD 34M N/OF BRIMORTON DR,SB,,41,"{'type': 'Point', 'coordinates': (-79.20899354, 43.771789214)}",5,Weekdays from 7 AM - 9 PM,4460,ORTON PARK RD SB ,40,2022-04-22T13:00:00,46,24.0
12246,MORNINGSIDE AVE 193M N/OF BEATH ST,SB,,51,"{'type': 'Point', 'coordinates': (-79.189568097, 43.77641237600001)}",30,Weekdays from 7 AM - 9 PM,6514,MORNINGSIDE AVE SB ,50,2022-04-22T12:00:00,56,24.0
12247,95 Sudbury Hall Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.173426, 43.801802)}",20,Weekdays from 7 AM - 9 PM,80,Dean Park Rd EB ,30,2019-01-03T14:00:00,36,25.0
12248,134 Hupfield Trail,SB,,41,"{'type': 'Point', 'coordinates': (-79.219263, 43.814463)}",5,Weekdays from 7 AM - 9 PM,487,Hupfield Trl SB ,40,2019-07-24T08:00:00,46,25.0
12249,573 Morrish Road,NB,2022-02-12T11:00:00,31,"{'type': 'Point', 'coordinates': (-79.174407, 43.792953)}",20,Weekdays from 7 AM - 9 PM,496,Morrish Rd NB ,30,2019-01-03T14:00:00,36,25.0
12250,45 Canmore Boulevard,EB,,41,"{'type': 'Point', 'coordinates': (-79.181071, 43.7933)}",5,Weekdays from 7 AM - 9 PM,544,Canmore Blvd EB ,40,2017-05-26T12:00:00,46,25.0
12251,53 Dean Park Road,WB,,31,"{'type': 'Point', 'coordinates': (-79.171212, 43.803227)}",20,Weekdays from 7 AM - 9 PM,623,Dean Park Rd WB ,30,2019-01-03T14:00:00,36,25.0
12252,694 Morrish Road,SB,,31,"{'type': 'Point', 'coordinates': (-79.175365, 43.79471)}",20,Weekdays from 7 AM - 9 PM,729,Morrish Rd SB ,30,2019-01-03T14:00:00,36,25.0
12253,60 John Tabor Trail,WB,,41,"{'type': 'Point', 'coordinates': (-79.208871, 43.806609)}",5,Weekdays from 7 AM - 9 PM,780,John Tabor Trl WB ,40,2019-11-04T13:00:00,46,25.0
12254,3 John Tabor Trail,WB,,51,"{'type': 'Point', 'coordinates': (-79.2106, 43.805279)}",30,Weekdays from 7 AM - 9 PM,791,Brenyon Way WB ,50,2019-10-30T14:00:00,56,25.0
12255,127 Wickson Trail,NB,,41,"{'type': 'Point', 'coordinates': (-79.211247, 43.80292200000001)}",5,Weekdays from 7 AM - 9 PM,812,Wickson Trail NB ,40,2019-11-15T11:00:00,46,25.0
12256,88 Canmore Boulevard,WB,,41,"{'type': 'Point', 'coordinates': (-79.177901, 43.793952)}",5,Weekdays from 7 AM - 9 PM,836,Canmore Blvd WB ,40,2017-05-26T12:00:00,46,25.0
12257,250 Brenyon Way,EB,,51,"{'type': 'Point', 'coordinates': (-79.213186, 43.806065)}",30,Weekdays from 7 AM - 9 PM,844,Brenyon Way EB ,50,2019-10-30T14:00:00,56,25.0
12258, Morningside Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.191856, 43.782093)}",20,Weekdays from 7 AM - 9 PM,1961,Morningside Ave NB ,30,2020-03-10T00:00:00,36,25.0
12259,206 Morningside Avenue,NB,,51,"{'type': 'Point', 'coordinates': (-79.185126, 43.765677)}",30,Weekdays from 7 AM - 9 PM,2196,Morningside Ave NB ,50,2020-05-15T11:00:00,56,25.0
12260,75 Hupfield Trail,NB,,41,"{'type': 'Point', 'coordinates': (-79.220334, 43.812727)}",5,Weekdays from 7 AM - 9 PM,2266,Humpfield Trl NB ,40,2019-10-30T09:00:00,46,25.0
12261,70 Fawcett Trail,SB,2020-11-05T00:00:00,41,"{'type': 'Point', 'coordinates': (-79.207265, 43.811999)}",5,Weekdays from 7 AM - 9 PM,2463,Fawcett Trl SB - c ,40,2020-10-30T12:00:00,46,25.0
12262,59 Fawcett Trail,NB,,41,"{'type': 'Point', 'coordinates': (-79.206567, 43.811596)}",5,Weekdays from 7 AM - 9 PM,2465,Fawcett Trl NB - C ,40,2020-10-30T13:00:00,46,25.0
12263,70 Fawcett Trail,SB,2021-04-18T21:00:00,41,"{'type': 'Point', 'coordinates': (-79.207265, 43.811999)}",5,Weekdays from 7 AM - 9 PM,2508,Fawcett Trl SB ,40,2020-11-05T00:00:00,46,25.0
